id_deputado,nome_completo,sexo,uf,partido_atual,profissao,eleicao_ocupacao,eleicao_grau_instrucao,eleicao_partido,situacao,data_nascimento,data_falecimento,ano_inicio,data_saida,soma_documento,soma_glosa,soma_liquido,,receita_total_eleicoes,tipo_receita,nome_parlamentar,total_bens,tipo_bem,total_despesas_eleicoes,id_municipio,votos,anos,mandatos,causa_fimdescr
64960,Maria Helena Veronese Rodrigues,F,RR,PSB,194,26,Superior completo,PSB,E,1949-06-15,,2003,,572395.9599999997,11650.730000000007,560745.23,11,233820,RECURSOS DE PESSOAS FÍSICAS,Maria Helena,2363554.56,11,233807.79,1400027,49,3.99726214921287,1,Término da Legislatura
65498,Lucia Vania,,GO,PP,436,,,,,,,1991,,0,0,0,12,,,Lucia Vania,,,,,,,,
65511,Miguel Arraes,,PE,PSB,436,,,,,,,1991,,0,0,0,13,,,Miguel Arraes,,,,,,,,
65551,Wagner Lago,,MA,PP,436,,,,,,,2003,,0,0,0,14,,,Wagner Lago,,,,,,,,
65904,Maurilio Ferreira Lima,,,,436,,,,,,,1999,,0,0,0,15,,,Maurilio Ferreira Lima,,,,,,,,
65987,Lucia Braga,,PB,PDT,436,,,,,,,1991,,0,0,0,16,,,Lucia Braga,,,,,,,,
67138,Iracema Maria Portella Nunes Nogueira Lima,F,PI,PP,340,228,Superior completo,PP,E,1966-04-23,,2011,,981318.2900000016,4084.6800000000007,977233.6100000013,17,773180.35,RECURSOS DE PESSOAS JURÍDICAS,Iracema Portella,2519157.82,13,772962.5,220095,453,,1,
67836,Luiz Gushiken,,SP,PT,436,,,,,,,1991,,0,0,0,18,,,Luiz Gushiken,,,,,,,,
68731,José Henrique Oliveira,M,AM,SDD,255,245,Ensino médio completo,PR,E,1960-10-16,,2011,2013-10-02,950984.7400000006,2071.2900000000004,944913.4500000005,19,603259.24,RECURSOS DE PESSOAS FÍSICAS,Henrique Oliveira,,,719676.9,1300029,9,,1,
72553,Gessivaldo Isaias,,PI,PMDB,436,,,,,,,1999,,0,0,0,20,,,Gessivaldo Isaias,,,,,,,,
73416,Nelson Roberto Bornier De Oliveira,M,RJ,PMDB,199,26,Superior completo,PMDB,V,1950-01-14,,1991,,1269073.2800000047,2884.280000000001,1266189.0000000035,21,1438909.78,RECURSOS PRÓPRIOS,Nelson Bornier,1969050.77,13,1438756.63,3300100,15,1.88364134154689,2,Afastamento
73418,Noel De Oliveira,,,,436,44,Superior completo,PDT,,1929-06-26,,1995,,0,0,0,22,14231.86,RECURSOS DE PESSOAS FÍSICAS,Noel De Oliveira,966699.64,12,14231.86,3300100,3,,,
73420,Roberto Jefferson Monteiro Francisco,,RJ,PTB,436,,,,,,,1991,,0,0,0,23,,,Roberto Jefferson Monteiro Francisco,,,,,,,,
73421,Ronaldo Cezar Coelho,,,,436,,,,,,,1995,,0,0,0,24,,,Ronaldo Cezar Coelho,,,,,,,,
73422,Rubem Medina,,RJ,PFL,436,,,,,,,1991,,0,0,0,25,,,Rubem Medina,,,,,,,,
73424,Simão Sessim,M,RJ,PP,358,26,Superior completo,PP,E,1935-12-08,,1991,,1286026.3900000015,2665.0699999999993,1283361.3200000017,26,1035004.99,RECURSOS PRÓPRIOS,Simão Sessim,985882.5,21,1034981.33,3300100,73,,1,
73426,Adhemar De Barros Filho,,,,436,199,Superior completo,PP,,1929-06-18,,1995,,0,0,0,27,214572.73,RECURSOS PRÓPRIOS,Adhemar De Barros Filho,8307234.92,11,214572.73,3500105,2,,,
73427,Alberto Goldman,,SP,PSDB,436,,,,,,,1991,,0,0,0,28,,,Alberto Goldman,,,,,,,,
73428,José Aldo Rebelo Figueiredo,M,SP,PCDOB,281,281,Superior completo,PCDOB,L,1956-02-23,,1991,,696554.9099999984,3630.7999999999993,692924.1099999988,29,2177724.19,RECURSOS DE PESSOAS FÍSICAS,Aldo Rebelo,1037638.54,12,2159922.2,3500105,78,0.744695414099932,1,Ministro de Estado
73430,Aloysio Nunes Ferreira,,SP,PSDB,436,,,,,,,1995,,0,0,0,30,,,Aloysio Nunes Ferreira,,,,,,,,
73431,Antonio Carlos Pannunzio,M,SP,PSDB,239,26,Superior completo,PSDB,E,1943-07-29,,1995,,399170.8400000016,2758.17,396412.67000000185,31,902485.26,RECURSOS DE PESSOAS JURÍDICAS,Antonio Carlos Pannunzio,2096055.29,12,902222.68,3500303,2,3.99726214921287,1,Término da Legislatura
73432,Antonio Kandir,,SP,PSDB,436,,,,,,,1995,,0,0,0,32,,,Antonio Kandir,,,,,,,,
73433,Arlindo Chignalia Junior,M,SP,PT,196,196,Superior completo,PT,E,1949-12-24,,1995,,695947.9599999995,2620.9900000000007,693326.9699999994,33,4070616.71,RECURSOS DE PESSOAS FÍSICAS,Arlindo Chinaglia,1476991.53,11,4069516.71,3500105,350,,1,
73434,Arnaldo Faria De Sá,M,SP,PTB,343,26,Superior completo,PTB,E,1945-12-30,,1991,,780605.4800000018,20.1,778373.620000002,34,1662817.11,RECURSOS DE PESSOAS FÍSICAS,Arnaldo Faria De Sá,4449697.9,11,1661313.63,3500105,82,,1,
73435,Ary Kara José,,SP,PPB,436,,,,,,,1991,,0,0,0,35,,,Ary Kara José,,,,,,,,
73437,Paulo Roberto Gomes Mansur,M,SP,PRB,32,26,Superior completo,PP,E,1951-07-07,,1991,2013-10-05,1482845.7399999932,23319.92000000001,1440279.0099999944,36,1564179.2,RECURSOS PRÓPRIOS,Beto Mansur,21004188.27,11,1564179.2,3500105,3,,1,
73441,Celso Ubirajara Russomanno,M,SP,PP,147,,,,E,1956-08-20,,1995,,317384.34999999916,1706.74,315677.60999999905,37,,,Celso Russomanno,,,,,,3.99726214921287,1,Término da Legislatura
73442,Valdemar Corauci Sobrinho,,SP,PFL,436,199,Superior completo,PSB,,1945-08-24,,1995,,0,0,0,38,406777.56,RECURSOS PRÓPRIOS,Valdemar Corauci Sobrinho,1491552.73,1,406777.56,3500105,2,,,
73443,Antônio Henrique Bittencourt Cunha Bueno,,SP,PPB,436,,,,,,,1991,,0,0,0,39,,,Antônio Henrique Bittencourt Cunha Bueno,,,,,,,,
73445,Delfim Netto,,SP,PPB,436,228,Superior completo,PSB,,1960-11-16,,1991,,0,0,0,40,,,Delfim Netto,,,,,,,,
73446,Duilio Pisaneschi,,,PTB,436,,,,,,,1995,,0,0,0,41,,,Duilio Pisaneschi,,,,,,,,
73447,Edson Edinho Coelho Araújo,M,SP,PMDB,254,199,Superior completo,PMDB,E,1949-07-30,,1995,,778047.269999998,8959.389999999996,763558.7599999973,42,388255.77,RECURSOS DE PESSOAS FÍSICAS,Edinho Araújo,2226222.37,11,376255.77,3500105,15,,1,
73448,Eduardo Jorge Martins Alves Sobrinho,,SP,PT,436,,,,,,,1991,,0,0,0,43,,,Eduardo Jorge Martins Alves Sobrinho,,,,,,,,
73451,Carlos Fernando Zuppo Franco,,SP,PDT,436,,,,,,,1995,,0,0,0,44,,,Carlos Fernando Zuppo Franco,,,,,,,,
73452,Franco Montoro,,SP,PSDB,436,,,,,,,1995,,0,0,0,45,,,Franco Montoro,,,,,,,,
73454,João Grandão E Outros,,MS,PT,436,,,,,,,1999,,0,0,0,46,,,João Grandão E Outros,,,,,,,,
73455,Pedro Pedrossian Filho,,MS,PFL,436,,,,,,,1999,,0,0,0,47,,,Pedro Pedrossian Filho,,,,,,,,
73456,Waldemir Moka Miranda De Britto,M,MS,PMDB,57,,,,E,1951-10-10,,1999,,730280.1799999987,2455.8899999999994,727824.2899999993,48,,,Waldemir Moka,,,,,,3.99726214921287,1,Término da Legislatura
73457,Airton Bernardo Roveda,M,PR,PR,306,228,Ensino médio completo,PR,E,1948-02-14,,1999,2007-03-23,256400.25999999928,3747.2800000000007,252652.9799999993,49,578564.62,RECURSOS DE PESSOAS JURÍDICAS,Airton Roveda,5692443.79,12,578437.03,4100301,7,2.90759753593429,3,Afastamento
73458,Alex Canziani Silveira,M,PR,PTB,111,26,Superior completo,PTB,E,1964-06-11,,1999,,1362197.3700000108,9574.18,1344250.6900000097,50,1219125,RECURSOS DE PESSOAS FÍSICAS,Alex Canziani,3124363.56,1,1219125,4100103,13,,1,
73459,Florisvaldo Fier,M,PR,PT,73,196,Superior completo,PT,E,1950-11-12,,1999,,1073405.0099999984,10167.170000000002,1062584.5599999996,51,1127339,DESCRIÇÃO DAS DOAÇÕES RELATIVAS À COMERCIALIZAÇÃO,Dr. Rosinha,1140253.22,11,1127055.35,4100103,1,,1,
73460,Gustavo Bonato Fruet,M,PR,PSDB,199,,,,E,1963-04-18,,1999,,281670.54999999853,1415.71,280254.83999999857,52,,,Gustavo Fruet,,,,,,3.99726214921287,1,Término da Legislatura
73461,Íris Xavier Simões,M,PR,PR,262,245,Superior incompleto,PR,E,1961-05-25,,1999,2010-02-23,134230.28999999986,541.87,133688.41999999984,53,207999.98,RECURSOS DE PESSOAS JURÍDICAS,Íris Simões,1835617.2,11,207995.17,4100400,17,0.405201916495551,2,Afastamento
73462,José Carlos De Castro Martinez,,PR,PTB,436,,,,,,,1999,,0,0,0,54,,,José Carlos De Castro Martinez,,,,,,,,
73463,Osmar José Serraglio,M,PR,PMDB,199,26,Superior completo,PMDB,E,1948-05-23,,1999,,1592398.1700000023,19819.989999999994,1572578.1800000032,55,1004302.13,RECURSOS PRÓPRIOS,Osmar Serraglio,3350497,12,1004224.94,4100103,2,,1,
73464,Bernardino Barreto De Oliveira,M,PR,PRB,0,5,Ensino fundamental completo,PRB,S,1957-04-15,,1999,,268235.5700000002,2016.9400000000003,250126.47000000018,56,578358.66,RECURSOS PRÓPRIOS,Oliveira Filho,1526483,11,578358.66,4100301,19,0.777549623545517,1,Afastamento
73465,Rafael Greca,,PR,PFL,436,,,,,,,1999,,0,0,0,57,,,Rafael Greca,,,,,,,,
73466,Rubens Bueno,M,PR,PPS,81,44,Superior completo,PPS,E,1948-05-23,,1999,,594362.309999999,2314.07,591927.6199999988,58,383340.26,RECURSOS DE PESSOAS FÍSICAS,Rubens Bueno,1866237.19,11,383262.11,4100202,13,,1,
73467,Joaquim Dos Santos Filho,,PR,PFL,436,,,,,,,1999,,0,0,0,59,,,Joaquim Dos Santos Filho,,,,,,,,
73468,Antônio Carlos Konder Reis,,SC,PFL,436,,,,,,,1999,,0,0,0,60,,,Antônio Carlos Konder Reis,,,,,,,,
73469,Carlito Merss,M,SC,PT,400,,,,V,1955-09-16,,1999,,4585.26,0.0,4585.26,61,,,Carlito Merss,,,,,,1.91375770020534,1,Renúncia
73470,Eni Voltolini,,SC,PPB,436,,,,,,,1999,,0,0,0,62,,,Eni Voltolini,,,,,,,,
73471,Carlos Fernando Coruja Agustini,M,SC,PPS,14,,,,E,1954-12-04,,1999,,350194.40999999957,525.4299999999998,349668.9799999996,63,,,Fernando Coruja,,,,,,3.99726214921287,1,Término da Legislatura
73472,Gervásio José Da Silva,M,SC,PSDB,70,26,Superior incompleto,PSDB,E,1955-05-24,,1999,2007-08-21,651141.310000001,12628.500000000013,638512.8099999995,64,681622.76,RECURSOS PRÓPRIOS,Gervásio Silva,1526955,13,681588.55,4200051,16,3.99726214921287,1,Término da Legislatura
73473,Leodegar Tiscoski,,SC,PPB,436,,,,,,,1999,,0,0,0,65,,,Leodegar Tiscoski,,,,,,,,
73474,Luci Teresinha Koswoski Choinacki,F,SC,PT,336,245,Ensino fundamental completo,PT,E,1954-03-17,,1991,,914664.6499999975,1481.7500000000002,913182.8999999971,66,536387.37,RECURSOS DE PESSOAS JURÍDICAS,Luci Choinacki,386593,12,536386.41,4200051,19,,1,
73475,Renato Vianna,,SC,PMDB,436,,,,,,,1999,,0,0,0,67,,,Renato Vianna,,,,,,,,
73476,Vicente Augusto Caropreso,,SC,PSDB,436,,,,,,,1999,,0,0,0,68,,,Vicente Augusto Caropreso,,,,,,,,
73477,Alceu Collares,,RS,PDT,436,,,,,,,1999,,0,0,0,69,,,Alceu Collares,,,,,,,,
73478,Luiz Roberto De Albuquerque,M,RS,PSB,199,26,Superior completo,PSB,E,1963-01-06,,1999,,627675.8800000002,4347.759999999993,619969.03,70,1454060.04,RECURSOS DE PESSOAS JURÍDICAS,Beto Albuquerque,2135966.42,11,1452615.67,4300034,5,,2,Secretário de Estado
73479,Luiz Carlos Repiso Riela,,RS,PTB,436,,,,,,,1999,,0,0,0,71,,,Luiz Carlos Repiso Riela,,,,,,,,
73480,Cezar Augusto Schirmer,M,RS,PMDB,72,,,,V,1952-02-23,,1999,,0,0,0,72,,,Cezar Schirmer,,,,,,1.97399041752225,3,Afastamento
73481,Fernando Stephan Marroni,M,RS,PT,0,26,Superior completo,PT,E,1956-07-31,,1999,,1591091.370000007,25393.63,1562679.4900000081,73,432069.07,RECURSOS PRÓPRIOS,Fernando Marroni,375999,12,432069.07,4300034,50,,1,
73482,Henrique Fontana Júnior,M,RS,PT,376,26,Superior completo,PT,E,1960-01-18,,1999,,1526145.670000009,26988.670000000027,1437988.3900000027,74,1274952.04,RECURSOS PRÓPRIOS,Henrique Fontana,2114449.06,13,1270899.03,4300034,19,,1,
73483,Luis Carlos Heinze,M,RS,PP,165,26,Superior completo,PP,E,1950-09-14,,1999,,1537241.1799999992,10673.830000000002,1524499.7199999983,75,1557728.41,RECURSOS DE PESSOAS JURÍDICAS,Luis Carlos Heinze,4707789.75,11,1555510.87,4300034,68,,1,
73484,Marcos Flávio Rolim,,RS,PT,436,,,,,,,1999,,0,0,0,76,,,Marcos Flávio Rolim,,,,,,,,
73485,Paulo José Gouvêa,,RS,PL,436,,,,,,,1999,,0,0,0,77,,,Paulo José Gouvêa,,,,,,,,
73486,Darci Pompeo De Mattos,M,RS,PDT,144,,,,E,1958-07-12,,1999,,548042.259999999,3553.400000000001,544488.8599999992,78,,,Pompeo De Mattos,,,,,,3.99726214921287,1,Término da Legislatura
73487,Roberto Argenta,,RS,PHS,436,427,Superior incompleto,PDT,,1974-03-11,,1999,,0,0,0,79,,,Roberto Argenta,,,,,,,,
73488,Synval Sebastião Duarte Guazzelli,,RS,PMDB,436,,,,,,,1999,,0,0,0,80,,,Synval Sebastião Duarte Guazzelli,,,,,,,,
73489,Waldir Schmidt,,RS,PMDB,436,199,Superior completo,PRB,,1972-08-03,,1999,,0,0,0,81,402756.1,RECURSOS PRÓPRIOS,Waldir Schmidt,179020,21,402524.3,4300059,2,,,
73490,Ricarte De Freitas Junior,M,MT,PTB,199,,,,S,1952-01-17,,1999,,72885.87999999999,179.7,72706.18000000001,82,,,Ricarte De Freitas,,,,,,0.334017796030116,1,Afastamento
73491,Pedro Bittencourt,,,,436,,,,,,,1999,,0,0,0,83,,,Pedro Bittencourt,,,,,,,,
73492,Antonio Carlos Silva Biscaia,M,RJ,PT,4,199,Ensino médio completo,PT,E,1942-06-03,,1999,,126909.93000000012,187.17,126722.76000000014,84,403820,RECURSOS PRÓPRIOS,Antonio Carlos Biscaia,1599438,11,403399.46,3300100,28,2.31074606433949,2,Afastamento
73507,Rosilda De Freitas,F,ES,PMDB,42,26,Superior incompleto,PMDB,E,1949-01-23,,1991,,1277008.3100000056,32109.06000000002,1243581.8800000064,85,935957.72,RECURSOS DE PARTIDO POLÍTICO,Rose De Freitas,2370039.84,11,935627.94,3200102,6533,,1,
73531,Ivan Valente,M,SP,PSOL,384,26,Superior completo,PSOL,E,1946-07-05,,1995,,1217671.9700000037,13351.830000000005,1204320.1400000039,86,214324.25,DESCRIÇÃO DAS DOAÇÕES RELATIVAS À COMERCIALIZAÇÃO,Ivan Valente,1049528,11,214304.94,3500105,58,,1,
73532,Jair Antonio Meneguelli,,SP,PT,436,,,,,,,1995,,0,0,0,87,,,Jair Antonio Meneguelli,,,,,,,,
73533,Joao Mellao Neto,,,,436,,,,,,,1991,,0,0,0,88,,,Joao Mellao Neto,,,,,,,,
73534,João Paulo Cunha,M,SP,PT,263,26,Superior incompleto,PT,E,1958-06-06,,2003,,1296764.2699999956,2786.680000000002,1293977.5899999947,89,4074314.52,DESCRIÇÃO DAS DOAÇÕES RELATIVAS À COMERCIALIZAÇÃO,João Paulo Cunha,891574.52,12,4069510.2,3500105,555,,1,
73535,Jorge Tadeu Mudalen,M,SP,DEM,201,398,Superior completo,DEM,E,1955-01-03,,1991,,898811.3200000236,4723.800000000001,894070.0800000235,90,1051103,RECURSOS DE OUTROS CANDIDATOS/COMITÊS,Jorge Tadeu Mudalen,6320112.88,2,1050797.59,3500105,69,,1,
73536,José Aníbal Peres De Pontes,M,SP,PSDB,142,26,Superior completo,PSDB,L,1947-08-09,,1991,,494463.0300000007,2146.0,492317.03000000084,91,3651052.55,RECURSOS DE PESSOAS JURÍDICAS,José Aníbal,2035382.32,11,3650957.77,3500105,6,0.0054757015742642,1,Secretário de Estado
73538,Jose Coimbra,,SP,PTB,436,,,,,,,1995,,0,0,0,92,,,Jose Coimbra,,,,,,,,
73539,José Masci De Abreu,,SP,PSDB,436,160,Ensino médio incompleto,PTB,,1959-12-18,,1995,,0,0,0,93,22788.4,RECURSOS PRÓPRIOS,José Masci De Abreu,895625.86,1,22788.4,3500303,1,,,
73540,José Genoíno Neto,M,SP,PT,81,26,Superior incompleto,PT,L,1946-05-03,,1991,,413117.91000000056,3400.9299999999985,408916.9800000004,94,2206552.78,RECURSOS DE PESSOAS FÍSICAS,José Genoíno,538290.8,12,2206464.27,3500105,35,0.700889801505818,1,Licença para Tratamento de Saúde
73541,Jose Machado,,SP,PT,436,,,,,,,1995,,0,0,0,95,,,Jose Machado,,,,,,,,
73542,José Aristodemo Pinotti,M,SP,DEM,196,,,,V,1934-12-20,2009-07-01,2003,2007-04-23,0,0,0,96,,,Dr. Pinotti,,,,,,3.46064339493498,3,Secretário de Estado
73544,Koyu Iha,,,,436,,,,,,,1991,,0,0,0,97,,,Koyu Iha,,,,,,,,
73545,Luciano Zica,,SP,PT,436,,,,,,,1995,,0,0,0,98,,,Luciano Zica,,,,,,,,
73546,Luiz Carlos Santos,,SP,PFL,436,,,,,,,1991,,0,0,0,99,,,Luiz Carlos Santos,,,,,,,,
73547,Maluly Netto,,,,436,,,,,,,1991,,0,0,0,100,,,Maluly Netto,,,,,,,,
73548,Marcelo Fortes Barbieri,,SP,PMDB,436,,,,,,,1991,,0,0,0,101,,,Marcelo Fortes Barbieri,,,,,,,,
73552,Michel Miguel Elias Temer Lulia,M,SP,PMDB,290,,,,V,1940-09-23,,1991,,290027.3299999994,3245.8500000000004,286781.47999999946,102,,,Michel Temer,,,,,,3.90965092402464,1,Renúncia
73553,Nelson Marquezelli,M,SP,PTB,399,26,Superior completo,PTB,E,1941-10-29,,1991,,1282695.7500000128,4379.24,1278316.5100000128,103,2379233.66,RECURSOS PRÓPRIOS,Nelson Marquezelli,11111256.92,11,2379233.66,3500105,108,,1,
73554,Paulo César Marques De Velasco,,SP,PRONA,436,,,,,,,1995,,0,0,0,104,,,Paulo César Marques De Velasco,,,,,,,,
73555,Paulo César De Oliveira Lima,M,SP,PMDB,359,228,Superior completo,PMDB,E,1963-02-09,,1991,,43548.31000000004,3428.6699999999996,40119.64000000001,105,1392077.33,RECURSOS DE PESSOAS FÍSICAS,Paulo Lima,32470217.84,11,1392077.33,3500105,1312,0.618754277891855,2,Afastamento
73556,Regis Fernandes De Oliveira,M,SP,PSC,210,26,Superior completo,PSC,E,1944-09-19,,1995,,508805.9700000005,2123.7000000000003,506682.27000000054,106,721052.84,RECURSOS DE PESSOAS JURÍDICAS,Regis De Oliveira,3286375.44,11,721052.84,3500105,84,3.99726214921287,1,Término da Legislatura
73557,Ricardo Nagib Izar,M,SP,PTB,199,,,,V,1938-07-28,2008-05-02,1991,,838858.1799999981,8348.45,800651.7799999985,107,,,Ricardo Izar,,,,,,1.24845995893224,1,Falecimento
73558,Robson Tuma,M,SP,DEM,206,199,Superior completo,PTB,E,1968-09-05,,1991,,21791.380000000005,2098.67,19692.710000000003,108,2584408.94,RECURSOS DE PESSOAS JURÍDICAS,Robson Tuma,17262025.46,11,2584408.94,3500105,13,0.0574948665297741,1,Término da Legislatura
73559,Salvador Zimbaldi Filho,M,SP,PROS,170,228,Ensino médio completo,PDT,E,1955-06-05,,1995,2013-10-02,847177.7300000013,14089.01,831958.7800000012,109,647496.63,RECURSOS DE PESSOAS JURÍDICAS,Salvador Zimbaldi,2679231.38,1,647394.62,3500105,5,,1,
73560,Silvio França Torres,M,SP,PSDB,232,26,Superior completo,PSDB,L,1946-06-01,,1995,,295277.1599999999,2678.1,292599.0599999999,110,1552679.1,RECURSOS DE PESSOAS JURÍDICAS,Silvio Torres,6992515.23,11,1551650.4,3500105,3214,0.0054757015742642,2,Secretário de Estado
73561,Telma Sandra Augusto De Souza,F,SP,PT,307,,,,E,1944-09-29,,1995,,28667.769999999986,272.27000000000004,28395.499999999985,111,,,Telma De Souza,,,,,,0.0739219712525667,1,Término da Legislatura
73563,Ushitaro Kamia,,SP,PSB,436,,,,,,,1995,,0,0,0,112,,,Ushitaro Kamia,,,,,,,,
73564,Etivaldo Vadão Gomes,M,SP,PP,75,228,Ensino fundamental completo,PP,E,1957-04-19,,1991,,221034.83999999994,2273.12,218761.71999999988,113,745243.43,RECURSOS DE PESSOAS JURÍDICAS,Vadão Gomes,195528154.63,2,740150.82,3500105,29,3.99726214921287,1,Término da Legislatura
73565,Valdemar Costa Neto,M,SP,PR,40,44,Superior completo,PR,E,1949-08-11,,1991,,967866.419999999,75.22,967791.1999999989,114,1048921.19,RECURSOS DE PARTIDO POLÍTICO,Valdemar Costa Neto,3596313.96,12,1043448.13,3500105,176,,1,
73566,Vicente Cascione,,SP,PTB,436,,,,,,,1995,,0,0,0,115,,,Vicente Cascione,,,,,,,,
73567,Wagner Rossi,,SP,PMDB,436,,,,,,,1991,,0,0,0,116,,,Wagner Rossi,,,,,,,,
73568,Celso Alencar Ramos Jacob,M,RJ,PMDB,0,45,Superior completo,PMDB,E,1957-01-19,,1999,,157170.05000000013,797.6800000000002,156372.37000000017,117,176954.62,RECURSOS DE OUTROS CANDIDATOS/COMITÊS,Celso Jacob,2285861.53,11,176954.62,3300100,5,,2,Afastamento
73569,Jorge Dos Reis Pinheiro,M,GO,PRB,172,75,Ensino médio completo,PRB,S,1966-10-12,,1999,,146692.34000000003,470.7699999999999,146311.56999999998,118,858638.46,RECURSOS PRÓPRIOS,Jorge Pinheiro,379750,13,858589.34,5200050,53,0.473648186173854,1,Afastamento
73570,Ivanio Guerra,,PR,PFL,436,,,,,,,1991,,0,0,0,119,,,Ivanio Guerra,,,,,,,,
73571,Osvaldo Sobrinho,,,,436,,,,,,,1999,,0,0,0,120,,,Osvaldo Sobrinho,,,,,,,,
73572,João Magno,,MG,PT,436,,,,,,,1999,,0,0,0,121,,,João Magno,,,,,,,,
73573,Yvonilton Gonçalves,,BA,PFL,436,,,,,,,1999,,0,0,0,122,,,Yvonilton Gonçalves,,,,,,,,
73574,Reginaldo Germano,,BA,PFL,436,,,,,,,1999,,0,0,0,123,,,Reginaldo Germano,,,,,,,,
73575,Joel De Hollanda,,PE,PFL,436,,,,,,,1999,,0,0,0,124,,,Joel De Hollanda,,,,,,,,
73576,Paulo De Almeida,,RJ,PFL,436,245,Superior completo,PDT,,1950-07-12,,1991,,0,0,0,125,,,Paulo De Almeida,,,,,,,,
73577,Tarcisio João Zimermmann,M,RS,PT,230,,,,V,1954-07-24,,1999,,0,0,0,126,,,Tarcísio Zimmermann,,,,,,1.91649555099247,1,Renúncia
73578,Ricardo Maranhão,,,PSB,436,,,,,,,1999,,0,0,0,127,,,Ricardo Maranhão,,,,,,,,
73579,João Alberto Fraga Silva,M,DF,DEM,77,,,,E,1956-06-02,,1999,2007-04-23,260753.13000000012,36.78,260716.35000000012,128,,,Alberto Fraga,,,,,,1.34976043805613,6,Secretário de Estado
73580,Ricardo Noronha,,,,436,,,,,,,1999,,0,0,0,129,,,Ricardo Noronha,,,,,,,,
73581,Aloízio Santos,,,,436,,,,,,,1999,,0,0,0,130,,,Aloízio Santos,,,,,,,,
73582,Helenildo Ribeiro,,AL,PSDB,436,,,,,,,1999,,0,0,0,131,,,Helenildo Ribeiro,,,,,,,,
73583,Carlos Cury,,RO,PPB,436,,,,,,,1999,,0,0,0,132,,,Carlos Cury,,,,,,,,
73584,Antonio Carlos De Mendes Thame,M,SP,PSDB,382,398,Superior completo,PSDB,E,1946-06-13,,1999,,1015310.8900000065,28042.81000000002,976423.5400000066,133,2418257.89,RECURSOS DE PESSOAS JURÍDICAS,Antonio Carlos Mendes Thame,4167261.34,2,2418257.89,3500105,104,,1,
73585,Clovis Volpi,,,,436,,,,,,,1999,,0,0,0,134,,,Clovis Volpi,,,,,,,,
73586,Júlio César Delgado,M,MG,PSB,417,26,Superior completo,PSB,E,1966-11-18,,1999,,1380613.3899999876,4325.37,1375929.2099999858,135,1673694.5,RECURSOS DE PESSOAS JURÍDICAS,Júlio Delgado,997745,12,1672643.29,3100104,2,,1,
73587,José Aleksandro,,AC,PSL,436,,,,,,,1999,,0,0,0,136,,,José Aleksandro,,,,,,,,
